template,x,y,w,h
B2.png,426,557,114,54
B2.png,538,557,114,54
B2.png,2738,1262,114,54
B2.png,1200,1573,114,54
B2.png,702,1260,114,54
B2.png,1322,1260,114,54
B2.png,2111,1260,114,54
C2.png,801,558,74,106
C2.png,348,1065,74,106
C2.png,520,1065,74,106
C2.png,1909,1574,74,106
C2.png,877,555,74,106
C2.png,1920,1063,74,106
C2.png,1563,1571,74,106
D2.png,591,1065,115,105
D2.png,703,1065,115,105
D2.png,1324,1065,115,105
D2.png,2000,1065,115,105
D2.png,2113,1065,115,105
D2.png,2427,1066,115,105
D2.png,2738,1066,115,105
D2.png,1210,1065,115,105
D2.png,977,1571,115,105
D2.png,1092,1574,115,105
D2.png,1175,1020,115,105
D2.png,241,1066,115,105
D2.png,1000,1066,115,105
D2.png,1104,1066,115,105
D2.png,1616,1066,115,105
D2.png,1806,1066,115,105
D2.png,2529,1066,115,105
D2.png,359,1574,115,105
D2.png,1450,1574,115,105
D2.png,1640,1574,115,105
D2.png,2079,1574,115,105
D2.png,603,1575,115,105
D2.png,2679,1572,115,105
D2.png,2679,1624,115,105
D2.png,2679,1676,115,105
F2.png,973,556,52,57
F2.png,972,607,52,57
G2.png,2727,469,53,105
G2.png,1718,525,53,105
G2.png,1567,526,53,105
G2.png,2629,1065,53,105
G2.png,410,1065,53,105
G2.png,1713,1065,53,105
G2.png,2835,1231,53,105
G2.png,812,1239,53,105
G2.png,1735,1573,53,105
G2.png,696,1573,53,105
G2.png,1971,1573,53,105
G2.png,1426,701,53,105
G2.png,852,1093,53,105
G2.png,1469,1093,53,105
G2.png,2257,1094,53,105
G2.png,2875,1099,53,105
G2.png,1429,1232,53,105
G2.png,2217,1236,53,105
G2.png,868,1571,53,105
G2.png,1424,469,53,105
G2.png,2017,376,53,105
G2.png,1804,1570,53,105
G2.png,1804,1712,53,105
H2.png,2529,378,82,183
H2.png,1936,643,82,183
H2.png,730,657,82,183
H2.png,1503,707,82,183
H2.png,906,1069,82,183
H2.png,1763,1063,82,183
H2.png,2311,1069,82,183
H2.png,776,1717,82,183
H2.png,776,1575,82,183
H2.png,1336,1574,82,183
H2.png,776,1649,82,183
H2.png,2788,1588,82,183
H2.png,1480,496,82,183
H2.png,707,441,82,183
H2.png,2432,653,82,183
H2.png,3178,22,82,183
H2.png,2524,492,82,183
H2.png,3176,1922,82,183
H2.png,2408,417,82,183
H2.png,2928,1076,82,183
H2.png,46,1589,82,183
H2.png,2881,384,82,183
H2.png,2880,36,82,183
I2.png,1912,1241,88,75
I2.png,1556,1749,88,75
J2.png,1976,371,52,151
J2.png,2729,555,52,151
